"ID","Total White Labour Force","Total White Employed","Total Black or African American Labour Force","Total Black or African American Employed","Total American Indian and Alaska Native Labour Force","Total American Indian and Alaska Native Employed","Total Asian Labour Force","Total Asian Employed","Total Native Hawaiian Labour Force","Total Native Hawaiian Employed","Total Some Race Labour Force","Total Some Race Employed","Total Two or More Race Labour Force","Total Two or More Race Employed"
9003500100,449,392,503,373,16,16,39,20,0,0,613,440,30,5
9003500200,526,399,383,280,0,0,35,35,0,0,110,92,31,17
9003500300,367,338,282,228,14,14,10,10,0,0,250,192,36,24
9003500400,278,196,294,188,0,0,44,39,5,5,168,132,43,28
9003500500,196,188,221,152,2,2,197,197,0,0,27,27,65,65
9003500700,0,0,15,15,0,0,0,0,0,0,0,0,0,0
9003500900,305,271,415,313,0,0,0,0,0,0,158,73,58,33
9003501200,66,66,885,629,6,3,0,0,0,0,129,99,41,25
9003501300,28,6,551,392,0,0,0,0,0,0,90,68,9,9
9003501400,46,9,924,684,0,0,0,0,0,0,103,88,100,72
9003501500,98,53,1473,959,0,0,0,0,0,0,161,90,18,0
9003501700,132,128,343,317,0,0,7,7,0,0,144,102,62,40
9003501800,182,106,513,335,42,14,0,0,0,0,375,246,48,28
9003502100,899,869,259,220,1,1,236,235,0,0,38,38,28,28
9003502300,1915,1666,597,516,25,0,93,79,0,0,582,481,94,83
9003502400,1846,1734,694,505,0,0,0,0,0,0,681,539,71,61
9003502500,482,409,175,152,0,0,11,11,0,0,233,165,49,33
9003502600,981,821,401,378,0,0,38,38,0,0,434,277,21,21
9003502700,898,800,342,266,14,14,95,53,0,0,434,343,68,68
9003502800,591,522,243,170,0,0,0,0,0,0,462,371,35,16
9003502900,675,583,513,327,0,0,104,104,0,0,289,202,82,55
9003503000,336,286,373,328,49,29,0,0,0,0,349,235,105,72
9003503100,739,678,1169,1013,0,0,194,141,0,0,252,249,8,8
9003503300,472,409,756,679,0,0,22,22,0,0,189,170,84,84
9003503500,103,62,513,416,0,0,0,0,0,0,103,37,35,23
9003503700,67,28,1152,800,0,0,19,19,0,0,21,21,67,67
9003503800,590,532,302,277,0,0,42,42,3,3,96,80,57,57
9003503900,30,30,2573,2227,0,0,0,0,0,0,33,33,21,21
9003504000,53,53,1970,1446,0,0,0,0,10,10,0,0,28,28
9003504100,403,335,199,160,0,0,5,5,0,0,194,181,7,7
9003504200,1641,1554,447,343,22,22,46,46,0,0,216,157,308,238
9003504300,577,496,311,236,0,0,45,30,0,0,323,210,12,12
9003504500,599,518,487,376,52,52,13,13,0,0,698,494,164,131
9003504800,700,588,373,294,0,0,85,64,0,0,789,693,182,156
9003504900,913,778,734,517,0,0,36,13,0,0,295,203,246,153
9003524400,355,230,1020,661,0,0,0,0,0,0,64,15,57,57
9003524501,806,737,319,297,0,0,33,33,0,0,442,377,16,0
9003524502,530,530,582,468,0,0,31,31,0,0,99,49,20,20
9003524600,281,270,1177,836,0,0,237,237,0,0,165,156,32,32
9003524700,965,779,285,224,0,0,44,28,0,0,346,273,89,89
